adhesivity,particle_size,weight_coefficient,gamma
0.4,0.06,0.0,0.5606094888793847
0.4,0.08,0.0,0.5637533740450986
0.4,0.1,0.0,0.5673886712855271
0.41,0.02,0.0,0.5643773739614374
0.41,0.04,0.0,0.5667053730966047
0.41,0.06,0.0,0.5694553853450053
0.41,0.08,0.0,0.5726456600678651
0.41,0.1,0.0,0.5763241188448623
0.42,0.02,0.0,0.5729951116695063
0.42,0.04,0.0,0.5753416288500958
0.42,0.06,0.0,0.5781297125648516
0.42,0.08,0.0,0.5813634428105443
0.42,0.1,0.0,0.5850799655341039
0.43,0.02,0.0,0.5814458888642132
0.43,0.04,0.0,0.5838104870701709
0.43,0.06,0.0,0.5866351968720144
0.43,0.08,0.0,0.5899092773736895
0.43,0.1,0.0,0.5936585803380271
0.44,0.02,0.0,0.5897322935358357
0.44,0.04,0.0,0.5921145017984409
0.44,0.06,0.0,0.5949742855432375
0.44,0.08,0.0,0.5982854661841482
0.44,0.1,0.0,0.6020621226461772
0.45,0.02,0.0,0.5978566772359407
0.45,0.04,0.0,0.60025599503834
0.45,0.06,0.0,0.6031492087100255
0.45,0.08,0.0,0.6064941232892406
0.45,0.1,0.0,0.6102926096297062
0.46,0.02,0.0,0.60582121917716
0.46,0.04,0.0,0.6082371217929968
0.46,0.06,0.0,0.6111620457659009
0.46,0.08,0.0,0.6145372426431938
0.46,0.1,0.0,0.6183519869894568
0.47,0.02,0.0,0.613627992568372
0.47,0.04,0.0,0.6160599370236185
0.47,0.06,0.0,0.6190147932733477
0.47,0.08,0.0,0.6224167673560211
0.47,0.1,0.0,0.6262422000004205
0.48,0.02,0.0,0.6212790302424737
0.48,0.04,0.0,0.6237264615770116
0.48,0.06,0.0,0.6267094314026979
0.48,0.08,0.0,0.6301346569106093
0.48,0.1,0.0,0.6339652618197075
0.49,0.02,0.0,0.6287763867454256
0.49,0.04,0.0,0.6312387442496815
0.49,0.06,0.0,0.6342479860608549
0.49,0.08,0.0,0.6376929494866003
0.49,0.1,0.0,0.6415233161656383
0.5,0.02,0.0,0.6361221942589864
0.5,0.04,0.0,0.6385989173662953
0.5,0.06,0.0,0.6416325840857849
0.5,0.08,0.0,0.645093816755867
0.5,0.1,0.0,0.64891869171015
