adhesivity,particle_size,n,product
0.45,0.06,0.01,0.6330931994459168
0.5,0.06,0.01,0.6728850199901649
0.55,0.06,0.01,0.708723194518532
0.6,0.06,0.01,0.7410043284085119
0.65,0.06,0.01,0.7700821713753365
0.7,0.06,0.01,0.7962761189767931
0.75,0.06,0.01,0.8198728854740674
0.8,0.06,0.01,0.8411297251475842
0.85,0.06,0.01,0.8602783224876086
0.9,0.06,0.01,0.8775271103656562
0.95,0.06,0.01,0.8930638476180686
1.0,0.06,0.01,0.9070573565834605
0.0,0.07,0.01,0.0
0.05,0.07,0.01,0.11155967113494217
0.1,0.07,0.01,0.20341570437955286
0.15,0.07,0.01,0.28587021765365034
0.2,0.07,0.01,0.3599874324518071
0.25,0.07,0.01,0.4266809339956926
0.3,0.07,0.01,0.4867391968623111
0.35,0.07,0.01,0.5408541983741819
0.4,0.07,0.01,0.589863015616199
0.45,0.07,0.01,0.633991716641122
0.5,0.07,0.01,0.673712015871203
0.55,0.07,0.01,0.709468637322543
0.6,0.07,0.01,0.7416605806675405
0.65,0.07,0.01,0.7706460489538361
0.7,0.07,0.01,0.796744962205306
0.75,0.07,0.01,0.8202451346852654
0.8,0.07,0.01,0.8414050177329433
0.85,0.07,0.01,0.860457329772575
0.9,0.07,0.01,0.8776115738046312
0.95,0.07,0.01,0.8930556938524213
1.0,0.07,0.01,0.906959128469651
0.0,0.08,0.01,0.0
0.05,0.08,0.01,0.11190693310831891
0.1,0.08,0.01,0.2039733671128655
0.15,0.08,0.01,0.28655156873776677
0.2,0.08,0.01,0.3607375454888805
0.25,0.08,0.01,0.4274620204984492
0.3,0.08,0.01,0.48752882458537095
0.35,0.08,0.01,0.5419352770707487
0.4,0.08,0.01,0.5909399725996743
0.45,0.08,0.01,0.6350185964447755
0.5,0.08,0.01,0.6746745679925581
0.55,0.08,0.01,0.7103574337716199
0.6,0.08,0.01,0.7424689211488442
0.65,0.08,0.01,0.7713680019856205
0.7,0.08,0.01,0.7973776959294833
0.75,0.08,0.01,0.8207863668402894
0.8,0.08,0.01,0.8418540345973341
0.85,0.08,0.01,0.8608148189910808
0.9,0.08,0.01,0.8778779419815488
0.95,0.08,0.01,0.8932326126733418
1.0,0.08,0.01,0.9070489579018067
0.0,0.09,0.01,0.0
0.05,0.09,0.01,0.11225591243236724
0.1,0.09,0.01,0.20453607952139813
0.15,0.09,0.01,0.2872464054317862
0.2,0.09,0.01,0.36151010484556084
0.25,0.09,0.01,0.42827670481111124
0.3,0.09,0.01,0.4886292238541764
0.35,0.09,0.01,0.543127832809637
0.4,0.09,0.01,0.5921074891219176
0.45,0.09,0.01,0.6361424876127202
0.5,0.09,0.01,0.6757422552780736
0.55,0.09,0.01,0.7113574714124093
0.6,0.09,0.01,0.7433929293945036
0.65,0.09,0.01,0.7722105139493971
0.7,0.09,0.01,0.7981343592879137
0.75,0.09,0.01,0.8214553809757258
0.8,0.09,0.01,0.8424358234849961
0.85,0.09,0.01,0.8613067112814485
0.9,0.09,0.01,0.8782821613343053
0.95,0.09,0.01,0.8935508339826268
1.0,0.09,0.01,0.9072825219674326
0.0,0.1,0.01,0.0
0.05,0.1,0.01,0.11260579941291875
0.1,0.1,0.01,0.2051050973889315
0.15,0.1,0.01,0.28795219960894053
0.2,0.1,0.01,0.3623006645014992
0.25,0.1,0.01,0.4291714639904804
0.3,0.1,0.01,0.4898790114644179
0.35,0.1,0.01,0.544384341585199
0.4,0.1,0.01,0.5933456536146612
0.45,0.1,0.01,0.6373441893341361
0.5,0.1,0.01,0.6768920876552775
0.55,0.1,0.01,0.7124443167730806
0.6,0.1,0.01,0.744408244631639
0.65,0.1,0.01,0.7731480826097148
0.7,0.1,0.01,0.7989910646010341
0.75,0.1,0.01,0.822227434500638
0.8,0.1,0.01,0.8431210882266681
0.85,0.1,0.01,0.8619068241342963
0.9,0.1,0.01,0.878796737640716
0.95,0.1,0.01,0.8939809421300359
1.0,0.1,0.01,0.9076302685204704
0.0,0.01,0.02,0.0
0.05,0.01,0.02,0.11621158550884633
0.1,0.01,0.02,0.2124049166731557
0.15,0.01,0.02,0.29921186704170166
0.2,0.01,0.02,0.3775742188409585
0.25,0.01,0.02,0.448333292623207
0.3,0.01,0.02,0.5122422490897007
0.35,0.01,0.02,0.5699759938243496
0.4,0.01,0.02,0.622140335234317
0.45,0.01,0.02,0.669279352853322
0.5,0.01,0.02,0.7118827242577878
0.55,0.01,0.02,0.7503904798174821
0.6,0.01,0.02,0.7851989379965484
0.65,0.01,0.02,0.8166654611209743
0.7,0.01,0.02,0.8451117223275716
0.75,0.01,0.02,0.870827923295715
0.8,0.01,0.02,0.8940757850440936
0.85,0.01,0.02,0.9150915346158874
0.9,0.01,0.02,0.9340879196255888
0.95,0.01,0.02,0.9512574652973654
1.0,0.01,0.02,0.9667735079619755
0.0,0.02,0.02,0.0
0.05,0.02,0.02,0.11651932637675178
0.1,0.02,0.02,0.21277390541148627
0.15,0.02,0.02,0.2994782280392224
0.2,0.02,0.02,0.3776293686726618
0.25,0.02,0.02,0.4481057685395666
0.3,0.02,0.02,0.511685822788505
0.35,0.02,0.02,0.5690616690810762
0.4,0.02,0.02,0.6208501725299033
