adhesivity,particle_size,volume_time_400,efficiency_time_400,product,n
0.7,0.05,104.10415600701037,0.7598976377962838,8.122015406265767,0.51
0.75,0.05,97.69306405181591,0.7830197926609338,8.102205288209783,0.51
0.8,0.05,92.04907685783121,0.803901504695137,8.06961387639558,0.51
0.85,0.05,87.00829349025557,0.8227640095071865,8.025114136765197,0.51
0.9,0.05,82.48984085633266,0.8398025918387085,7.97152565561752,0.51
0.95,0.05,78.41728599507503,0.8551944850282339,7.910699970229657,0.51
1.0,0.05,74.72436480003937,0.8690999560718258,7.843961732945909,0.51
0.0,0.06,0.008494479202439675,0.008494479202439686,0.0007464427490136927,0.51
0.05,0.06,0.10504249405293938,0.10500949785594824,0.03327551183290901,0.51
0.1,0.06,0.19187757142048864,0.19189773096868437,0.08268223130809614,0.51
0.15,0.06,0.2700558945546981,0.27017081111635854,0.13857337478990867,0.51
0.2,0.06,0.3404700555197644,0.3407238835975316,0.19668118996652126,0.51
0.25,0.06,0.4039207038981229,0.4043581417479472,0.25466966115108924,0.51
0.3,0.06,0.4611218247503288,0.46178319731128886,0.31116025737309566,0.51
0.35,0.06,0.5127117480668327,0.5136299976730192,0.36533034509468343,0.51
0.4,0.06,0.5592630855419498,0.5604638893464158,0.41670803537094186,0.51
0.45,0.06,129.31543275609343,0.6030469771833848,7.199342369358221,0.51
0.5,0.06,117.677878783042,0.6415550260704617,7.29941869757772,0.51
0.55,0.06,108.00176307694602,0.6763045944210586,7.365327606416126,0.51
0.6,0.06,99.80041382311389,0.7076677778829508,7.402644879645025,0.51
0.65,0.06,92.7838443727115,0.7359737849996881,7.417768073097555,0.51
0.7,0.06,86.69959164940116,0.7615238694067747,7.414335209678976,0.51
0.75,0.06,81.36070303156582,0.7845892924994027,7.395267198990108,0.51
0.8,0.06,76.64319395917572,0.8054122765247871,7.363762592923939,0.51
0.85,0.06,72.44183470883328,0.8242122882422043,7.322067025906725,0.51
0.9,0.06,68.67439235843874,0.8411870811171379,7.272068400336134,0.51
