adhesivity,particle_size,n
0.3,0.08,0.9400000000000001
0.3,0.09,0.9400000000000001
0.3,0.1,0.9400000000000001
1.0,0.03,0.9500000000000001
0.9,0.04,0.9500000000000001
0.7,0.05,0.9500000000000001
0.5,0.06,0.9500000000000001
0.35,0.07,0.9500000000000001
0.3,0.08,0.9500000000000001
0.3,0.09,0.9500000000000001
0.3,0.1,0.9500000000000001
1.0,0.03,0.96
0.9,0.04,0.96
0.65,0.05,0.96
0.5,0.06,0.96
0.35,0.07,0.96
0.3,0.08,0.96
0.3,0.09,0.96
0.3,0.1,0.96
1.0,0.03,0.97
0.9,0.04,0.97
0.65,0.05,0.97
0.5,0.06,0.97
0.35,0.07,0.97
0.3,0.08,0.97
0.3,0.09,0.97
0.3,0.1,0.97
1.0,0.03,0.98
0.9,0.04,0.98
0.65,0.05,0.98
0.5,0.06,0.98
0.35,0.07,0.98
0.3,0.08,0.98
0.3,0.09,0.98
0.3,0.1,0.98
1.0,0.03,0.99
0.9,0.04,0.99
0.65,0.05,0.99
0.5,0.06,0.99
0.35,0.07,0.99
0.3,0.08,0.99
0.3,0.09,0.99
0.3,0.1,0.99
1.0,0.03,1.0
0.9,0.04,1.0
0.65,0.05,1.0
0.5,0.06,1.0
0.35,0.07,1.0
0.3,0.08,1.0
0.3,0.09,1.0
0.3,0.1,1.0
1.0,0.03,1.01
0.9,0.04,1.01
0.65,0.05,1.01
0.5,0.06,1.01
0.35,0.07,1.01
0.3,0.08,1.01
0.3,0.09,1.01
0.3,0.1,1.01
1.0,0.03,1.02
0.9,0.04,1.02
0.65,0.05,1.02
0.5,0.06,1.02
0.35,0.07,1.02
0.3,0.08,1.02
0.3,0.09,1.02
0.3,0.1,1.02
1.0,0.03,1.03
0.9,0.04,1.03
0.65,0.05,1.03
0.5,0.06,1.03
0.35,0.07,1.03
0.3,0.08,1.03
0.3,0.09,1.03
0.3,0.1,1.03
1.0,0.03,1.04
0.9,0.04,1.04
0.65,0.05,1.04
0.5,0.06,1.04
0.35,0.07,1.04
0.3,0.08,1.04
0.3,0.09,1.04
0.3,0.1,1.04
1.0,0.03,1.05
