n,adhesivity,Optimal Time,Optimal Retained,Optimal Score,particle_size
0.099,0.55,0.9999999999999998,0.0,0.09899999999999998,0.06
0.1,0.55,0.9999999999999998,0.0,0.09999999999999998,0.06
0.101,0.55,0.9999999999999998,0.0,0.10099999999999998,0.06
0.10200000000000001,0.55,0.9999999999999998,0.0,0.10199999999999998,0.06
0.10300000000000001,0.55,0.9999999999999998,0.0,0.10299999999999998,0.06
0.10400000000000001,0.55,0.9999999999999998,0.0,0.10399999999999998,0.06
0.105,0.55,0.9999999999999998,0.0,0.10499999999999997,0.06
0.106,0.55,0.9999999999999998,0.0,0.10599999999999997,0.06
0.107,0.55,0.9999999999999998,0.0,0.10699999999999997,0.06
0.108,0.55,0.9999999999999998,0.0,0.10799999999999997,0.06
0.109,0.55,0.9999999999999998,0.0,0.10899999999999997,0.06
0.11,0.55,0.9999999999999998,0.0,0.10999999999999997,0.06
0.111,0.55,0.9999999999999998,0.0,0.11099999999999997,0.06
0.112,0.55,0.9999999999999998,0.0,0.11199999999999997,0.06
0.113,0.55,0.9999999999999998,0.0,0.11299999999999998,0.06
0.114,0.55,0.9999999999999998,0.0,0.11399999999999998,0.06
0.115,0.55,0.9999999999999998,0.0,0.11499999999999998,0.06
0.116,0.55,0.9999999999999998,0.0,0.11599999999999998,0.06
0.117,0.55,0.9999999999999998,0.0,0.11699999999999998,0.06
0.11800000000000001,0.55,0.9999999999999998,0.0,0.11799999999999998,0.06
0.11900000000000001,0.55,0.9999999999999998,0.0,0.11899999999999998,0.06
0.12,0.55,0.9999999999999998,0.0,0.11999999999999997,0.06
0.121,0.55,0.9999999999999998,0.0,0.12099999999999997,0.06
0.122,0.55,0.9999999999999998,0.0,0.12199999999999997,0.06
0.123,0.55,0.9999999999999998,0.0,0.12299999999999997,0.06
0.124,0.55,0.9999999999999998,0.0,0.12399999999999997,0.06
0.125,0.55,0.9999999999999998,0.0,0.12499999999999997,0.06
0.126,0.55,0.9999999999999998,0.0,0.12599999999999997,0.06
0.127,0.55,0.9999999999999998,0.0,0.12699999999999997,0.06
0.128,0.55,0.9999999999999998,0.0,0.12799999999999997,0.06
0.129,0.55,0.9999999999999998,0.0,0.12899999999999998,0.06
0.13,0.55,0.9999999999999998,0.0,0.12999999999999998,0.06
0.131,0.55,0.9999999999999998,0.0,0.13099999999999998,0.06
0.132,0.55,0.9999999999999998,0.0,0.13199999999999998,0.06
0.133,0.55,0.9999999999999998,0.0,0.13299999999999998,0.06
0.134,0.55,0.9999999999999998,0.0,0.13399999999999998,0.06
0.135,0.55,0.9999999999999998,0.0,0.13499999999999998,0.06
0.136,0.55,0.9999999999999998,0.0,0.13599999999999998,0.06
0.137,0.55,0.9999999999999998,0.0,0.13699999999999998,0.06
0.138,0.55,0.9999999999999998,0.0,0.13799999999999998,0.06
0.139,0.55,0.9999999999999998,0.0,0.13899999999999998,0.06
0.14,0.55,0.9999999999999998,0.0,0.13999999999999999,0.06
0.14100000000000001,0.55,0.9999999999999998,0.0,0.141,0.06
0.14200000000000002,0.55,0.9999999999999998,0.0,0.142,0.06
0.14300000000000002,0.55,0.9999999999999998,0.0,0.143,0.06
0.14400000000000002,0.55,0.9999999999999998,0.0,0.144,0.06
0.145,0.55,0.9999999999999998,0.0,0.14499999999999996,0.06
0.146,0.55,0.9999999999999998,0.0,0.14599999999999996,0.06
0.147,0.55,0.9999999999999998,0.0,0.14699999999999996,0.06
0.148,0.55,0.9999999999999998,0.0,0.14799999999999996,0.06
