adhesivity,particle_size,time_throughput_100,efficiency_throughput_100,total_throughput
0.1,0.03,107.23036594271966,0.20898295569518777,100.0
0.15,0.03,110.68584233061472,0.28413877388770403,100.0
0.2,0.03,114.02549238300041,0.35211119975126404,100.0
0.25,0.03,117.25537412701951,0.413590601264461,100.0
0.3,0.03,120.3802720865776,0.46920095523977035,100.0
0.35,0.03,123.40567299400092,0.5195058937075906,100.0
0.4,0.03,126.34872801760277,0.5650145987501498,100.0
0.45,0.03,129.22301912913335,0.6061870939583072,100.0
0.5,0.03,132.04702583639434,0.6434390178295843,100.0
0.55,0.03,134.84056324548388,0.6771459328001537,100.0
0.6,0.03,137.62755383576763,0.7076472137793117,100.0
0.65,0.03,140.43784228825277,0.7352495489464778,100.0
0.7,0.03,143.30306223768272,0.7602301136063361,100.0
0.75,0.03,146.2593245713499,0.7828394232038731,100.0
0.8,0.03,149.35325089953523,0.8033039147813482,100.0
0.85,0.03,152.64316960517567,0.821828271164506,100.0
0.9,0.03,156.19688181152375,0.8385975295672118,100.0
0.95,0.03,160.12372869871655,0.8537789727171987,100.0
1.0,0.03,164.5493881797441,0.8675238432507701,100.0
0.0,0.04,99.99999999999997,0.0,100.0
0.05,0.04,104.94927741563268,0.12587793629410415,100.0
0.1,0.04,109.88334075379672,0.20898268361207206,100.0
0.15,0.04,114.78453765630267,0.28413880212699194,100.0
0.2,0.04,119.64915173846667,0.35211119736609686,100.0
0.25,0.04,124.47716830524318,0.41359060328869146,100.0
0.3,0.04,129.2835701519472,0.46920095593332223,100.0
0.35,0.04,134.0885122685114,0.5195058941909154,100.0
0.4,0.04,138.92638661325452,0.5650145982154176,100.0
0.45,0.04,143.84055166935403,0.6061870933382181,100.0
0.5,0.04,148.89848070655287,0.6434390182810177,100.0
0.55,0.04,154.18183057317125,0.6771459334612422,100.0
0.6,0.04,159.80580805496717,0.7076472135426075,100.0
0.65,0.04,165.92859470599944,0.73524954910072,100.0
0.7,0.04,172.7861860533086,0.7602301145066113,100.0
0.75,0.04,180.74288186520616,0.7828394230354436,100.0
0.8,0.04,190.41012113504462,0.8033039140821572,100.0
0.85,0.04,202.9474937335996,0.8218282717258852,100.0
0.9,0.04,221.12495341384476,0.8385975297307955,100.0
0.0,0.05,99.99999999999997,0.0,100.0
0.05,0.05,106.26567205441751,0.12587817469369167,100.0
0.1,0.05,112.67367764569015,0.20898264652756693,100.0
0.15,0.05,119.20814073202843,0.28413880000065506,100.0
0.2,0.05,125.87416091067705,0.3521111983041745,100.0
0.25,0.05,132.6953378839287,0.4135906004784775,100.0
0.3,0.05,139.71317569644754,0.4692009553957779,100.0
0.35,0.05,147.00538953725723,0.5195058939277203,100.0
0.4,0.05,154.67516079813626,0.565014598521041,100.0
0.45,0.05,162.9132385268621,0.6061870947654305,100.0
0.5,0.05,171.979178887524,0.6434390173915863,100.0
0.55,0.05,182.30928514688048,0.6771459335024986,100.0
0.6,0.05,194.63859944979535,0.7076472144672088,100.0
0.65,0.05,210.39459488008504,0.7352495490893491,100.0
0.7,0.05,232.89677200586192,0.7602301125441494,100.0
0.0,0.06,99.99999999999997,0.0,100.0
0.05,0.06,107.61564620731836,0.1258783463278753,100.0
0.1,0.06,115.60879698826847,0.20898264735402616,100.0
0.15,0.06,123.9952286988844,0.2841388000883591,100.0
0.2,0.06,132.80844597767268,0.35211119703759564,100.0
0.25,0.06,142.13796893442486,0.4135906013394093,100.0
0.3,0.06,152.12737691254063,0.4692009549994125,100.0
0.35,0.06,162.99942212798948,0.5195058939900896,100.0
0.4,0.06,175.16498396218574,0.5650145989147182,100.0
0.45,0.06,189.30368132818765,0.60618709243011,100.0
0.5,0.06,206.72536478044054,0.6434390170305946,100.0
0.55,0.06,230.24327060383436,0.6771459333904484,100.0
0.0,0.07,99.99999999999997,0.0,100.0
