n,adhesivity,Optimal Time,Optimal Retained,Optimal Score,particle_size
0.229,0.5,0.819430933250063,0.04977792038281065,0.22602846032941146,0.06
0.23,0.5,0.819430933250063,0.04977792038281065,0.2267981133422787,0.06
0.231,0.5,0.819430933250063,0.04977792038281065,0.22756776635514595,0.06
0.232,0.5,0.819430933250063,0.04977792038281065,0.2283374193680132,0.06
0.233,0.5,0.819430933250063,0.04977792038281065,0.22910707238088046,0.06
0.234,0.5,0.819430933250063,0.04977792038281065,0.2298767253937477,0.06
0.23500000000000001,0.5,0.819430933250063,0.04977792038281065,0.23064637840661495,0.06
0.23600000000000002,0.5,0.819430933250063,0.04977792038281065,0.2314160314194822,0.06
0.23700000000000002,0.5,0.819430933250063,0.04977792038281065,0.23218568443234947,0.06
0.23800000000000002,0.5,0.819430933250063,0.04977792038281065,0.23295533744521674,0.06
0.23900000000000002,0.5,0.819430933250063,0.04977792038281065,0.23372499045808395,0.06
0.24,0.5,0.819430933250063,0.04977792038281065,0.2344946434709512,0.06
0.241,0.5,0.819430933250063,0.04977792038281065,0.23526429648381847,0.06
0.242,0.5,0.819430933250063,0.04977792038281065,0.2360339494966857,0.06
0.243,0.5,0.819430933250063,0.04977792038281065,0.23680360250955296,0.06
0.244,0.5,0.819430933250063,0.04977792038281065,0.2375732555224202,0.06
0.245,0.5,0.819430933250063,0.04977792038281065,0.23834290853528747,0.06
0.246,0.5,0.819430933250063,0.04977792038281065,0.23911256154815472,0.06
0.247,0.5,0.819430933250063,0.04977792038281065,0.239882214561022,0.06
0.248,0.5,0.819430933250063,0.04977792038281065,0.2406518675738892,0.06
0.249,0.5,0.819430933250063,0.04977792038281065,0.24142152058675648,0.06
0.25,0.5,0.819430933250063,0.04977792038281065,0.24219117359962372,0.06
0.251,0.5,0.819430933250063,0.04977792038281065,0.242960826612491,0.06
0.252,0.5,0.819430933250063,0.04977792038281065,0.24373047962535827,0.06
0.253,0.5,0.819430933250063,0.04977792038281065,0.24450013263822548,0.06
0.254,0.5,0.819430933250063,0.04977792038281065,0.24526978565109275,0.06
0.255,0.5,0.819430933250063,0.04977792038281065,0.24603943866396,0.06
0.256,0.5,0.819430933250063,0.04977792038281065,0.24680909167682727,0.06
0.257,0.5,0.819430933250063,0.04977792038281065,0.24757874468969449,0.06
0.258,0.5,0.819430933250063,0.04977792038281065,0.24834839770256176,0.06
0.259,0.5,0.819430933250063,0.04977792038281065,0.24911805071542903,0.06
0.26,0.5,0.819430933250063,0.04977792038281065,0.24988770372829627,0.06
0.261,0.5,0.819430933250063,0.04977792038281065,0.2506573567411635,0.06
0.262,0.5,0.819430933250063,0.04977792038281065,0.25142700975403076,0.06
0.263,0.5,0.819430933250063,0.04977792038281065,0.252196662766898,0.06
0.264,0.5,0.819430933250063,0.04977792038281065,0.2529663157797653,0.06
0.265,0.5,0.819430933250063,0.04977792038281065,0.2537359687926325,0.06
0.266,0.5,0.819430933250063,0.04977792038281065,0.2545056218054998,0.06
0.267,0.5,0.819430933250063,0.04977792038281065,0.25527527481836704,0.06
0.268,0.5,0.819430933250063,0.04977792038281065,0.2560449278312343,0.06
0.269,0.5,0.819430933250063,0.04977792038281065,0.2568145808441015,0.06
0.27,0.5,0.819430933250063,0.04977792038281065,0.25758423385696877,0.06
0.271,0.5,0.819430933250063,0.04977792038281065,0.25835388686983607,0.06
0.272,0.5,0.819430933250063,0.04977792038281065,0.2591235398827033,0.06
0.273,0.5,0.819430933250063,0.04977792038281065,0.25989319289557056,0.06
0.274,0.5,0.819430933250063,0.04977792038281065,0.2606628459084378,0.06
0.275,0.5,0.819430933250063,0.04977792038281065,0.26143249892130505,0.06
0.276,0.5,0.819430933250063,0.04977792038281065,0.26220215193417235,0.06
0.277,0.5,0.819430933250063,0.04977792038281065,0.26297180494703953,0.06
0.278,0.5,0.819430933250063,0.04977792038281065,0.26374145795990683,0.06
0.279,0.5,0.819430933250063,0.04977792038281065,0.2645111109727741,0.06
0.28,0.5,0.819430933250063,0.04977792038281065,0.2652807639856413,0.06
0.281,0.5,0.819430933250063,0.04977792038281065,0.2660504169985086,0.06
0.28200000000000003,0.5,0.819430933250063,0.04977792038281065,0.2668200700113758,0.06
0.28300000000000003,0.5,0.819430933250063,0.04977792038281065,0.2675897230242431,0.06
0.28400000000000003,0.5,0.819430933250063,0.04977792038281065,0.26835937603711035,0.06
0.28500000000000003,0.5,0.819430933250063,0.04977792038281065,0.2691290290499776,0.06
0.28600000000000003,0.5,0.819430933250063,0.04977792038281065,0.26989868206284484,0.06
0.28700000000000003,0.5,0.819430933250063,0.04977792038281065,0.2706683350757121,0.06
0.28800000000000003,0.5,0.819430933250063,0.04977792038281065,0.27143798808857933,0.06
0.289,0.5,0.819430933250063,0.04977792038281065,0.2722076411014466,0.06
0.29,0.5,0.819430933250063,0.04977792038281065,0.2729772941143138,0.06
0.291,0.5,0.819430933250063,0.04977792038281065,0.27374694712718106,0.06
0.292,0.45,0.6856682952920145,0.10479106121932907,0.2744072135685532,0.06
0.293,0.45,0.6856682952920145,0.10479106121932907,0.2749880908026259,0.06
0.294,0.45,0.6856682952920145,0.10479106121932907,0.27556896803669856,0.06
0.295,0.45,0.6856682952920145,0.10479106121932907,0.27614984527077124,0.06
0.296,0.45,0.6856682952920145,0.10479106121932907,0.27673072250484393,0.06
0.297,0.45,0.6856682952920145,0.10479106121932907,0.2773115997389166,0.06
0.298,0.45,0.6856682952920145,0.10479106121932907,0.2778924769729893,0.06
0.299,0.45,0.6856682952920145,0.10479106121932907,0.278473354207062,0.06
0.3,0.45,0.6856682952920145,0.10479106121932907,0.27905423144113467,0.06
0.301,0.45,0.6856682952920145,0.10479106121932907,0.27963510867520736,0.06
0.302,0.45,0.6856682952920145,0.10479106121932907,0.28021598590928004,0.06
