adhesivity,particle_size,avg_retained_particles_throughput_100,time_throughput_100
0.15,0.07,0.2841388005025641,129.19141170051415
0.2,0.07,0.3521111978984264,140.58180891583197
0.25,0.07,0.4135906013818067,153.1194317437549
0.3,0.07,0.4692009554240958,167.18530416622644
0.35,0.07,0.519505892568713,183.48283457627574
0.4,0.07,0.5650146045694395,203.36818630383775
0.45,0.07,0.6061870918103067,229.78223804064004
0.5,0.07,0.6434390171741005,270.92683097510445
0.0,0.08,0.0,99.99999999999997
0.05,0.08,0.12587797928909128,110.42409295944518
0.1,0.08,0.20898264563151203,121.97628805668948
0.15,0.08,0.2841388012980127,134.84232597657595
0.2,0.08,0.35211119710025884,149.35468238822858
0.25,0.08,0.4135906014667655,166.05067282759092
0.3,0.08,0.4692009558581739,185.920155012693
0.35,0.08,0.5195058941541763,210.98958667849678
