adhesivity,particle_size,avg_retained_particles_throughput_100,time_throughput_100,ratio,n
0.8,0.01,0.803303915183052,111.3456990320457,0.0031387013588188573,4.8
0.85,0.01,0.821828272190027,111.70491217983547,0.003490413671102097,4.8
0.9,0.01,0.8385975300733681,112.04365962472082,0.0038341570097978218,4.8
0.95,0.01,0.8537789727364183,112.36381949849611,0.004167078565183421,4.8
1.0,0.01,0.8675238439528424,112.66748808726162,0.004486960076001295,4.8
0.0,0.02,0.0,99.99999999999997,0.0,4.8
0.05,0.02,0.12587729423732152,102.41414019219259,4.670760430250918e-07,4.8
0.1,0.02,0.20898258516731227,104.70464254502377,5.206699675455184e-06,4.8
0.15,0.02,0.28413904770300846,106.87256908399888,2.228856813506994e-05,4.8
0.2,0.02,0.3521110949144258,108.92119644944334,6.122801835132986e-05,4.8
0.25,0.02,0.4135906017457641,110.85300473058139,0.00013025419095115783,4.8
0.3,0.02,0.46920096007768874,112.67688816552491,0.00023479445576380737,4.8
0.35,0.02,0.5195058941259689,114.3988032714955,0.00037706204550153527,4.8
0.4,0.02,0.5650145988479449,116.02660819304704,0.000556325306386174,4.8
0.45,0.02,0.6061870929035287,117.56847293758247,0.000769522301757997,4.8
0.5,0.02,0.6434390172347614,119.03122021070962,0.001011986217371508,4.8
0.55,0.02,0.6771459330493856,120.4263633176607,0.0012780661886460647,4.8
0.6,0.02,0.7076472138827536,121.76118707690632,0.0015617509252530345,4.8
0.65,0.02,0.7352495490123572,123.04412151351345,0.0018570603208211977,4.8
0.7,0.02,0.7602301137132506,124.28356878157135,0.0021583536880616823,4.8
0.75,0.02,0.7828394236009278,125.48715750938489,0.0024605354295429917,4.8
0.8,0.02,0.8033039159063282,126.66445275165407,0.0027591079483532776,4.8
0.85,0.02,0.8218282717872112,127.8229583789122,0.003050284210514497,4.8
0.9,0.02,0.8385975297307082,128.96950541923044,0.0033309655698415546,4.8
0.95,0.02,0.8537789722844689,130.11360001763242,0.0035986158440097908,4.8
1.0,0.02,0.8675238439602755,131.26407884374746,0.0038512784714960563,4.8
0.0,0.03,0.0,99.99999999999997,0.0,4.8
0.05,0.03,0.12587763333411484,103.66605317809174,4.6144141137361524e-07,4.8
0.1,0.03,0.20898295569518777,107.23036594271966,5.0841033990705234e-06,4.8
0.15,0.03,0.28413877388770403,110.68584233061472,2.15205980215302e-05,4.8
0.2,0.03,0.35211119975126404,114.02549238300041,5.848725935469624e-05,4.8
0.25,0.03,0.413590601264461,117.25537412701951,0.00012314206041755358,4.8
0.3,0.03,0.46920095523977035,120.3802720865776,0.0002197694594475012,4.8
0.35,0.03,0.5195058937075906,123.40567299400092,0.00034954184480505364,4.8
0.4,0.03,0.5650145987501498,126.34872801760277,0.0005108760437170798,4.8
0.45,0.03,0.6061870939583072,129.22301912913335,0.0007001195551260121,4.8
0.5,0.03,0.6434390178295843,132.04702583639434,0.0009122352742265426,4.8
0.55,0.03,0.6771459328001537,134.84056324548388,0.0011414433402045729,4.8
0.6,0.03,0.7076472137793117,137.62755383576763,0.0013817047614663018,4.8
0.65,0.03,0.7352495489464778,140.43784228825277,0.0016270568669502134,4.8
0.7,0.03,0.7602301136063361,143.30306223768272,0.0018718923006626085,4.8
0.75,0.03,0.7828394232038731,146.2593245713499,0.002111083154237815,4.8
0.8,0.03,0.8033039147813482,149.35325089953523,0.0023399617611721,4.8
0.85,0.03,0.821828271164506,152.64316960517567,0.0025542993589224867,4.8
0.9,0.03,0.8385975295672118,156.19688181152375,0.0027503300752655052,4.8
0.95,0.03,0.8537789727171987,160.12372869871655,0.002924169125268947,4.8
1.0,0.03,0.8675238432507701,164.5493881797441,0.00307223578610271,4.8
0.0,0.04,0.0,99.99999999999997,0.0,4.8
0.05,0.04,0.12587793629410415,104.94927741563268,4.558045914771634e-07,4.8
0.1,0.04,0.20898268361207206,109.88334075379672,4.961324048799217e-06,4.8
0.15,0.04,0.28413880212699194,114.78453765630267,2.075215620897553e-05,4.8
0.2,0.04,0.35211119736609686,119.64915173846667,5.5738283408702174e-05,4.8
0.25,0.04,0.41359060328869146,124.47716830524318,0.00011599772794345383,4.8
0.3,0.04,0.46920095593332223,129.2835701519472,0.00020463472258095222,4.8
0.35,0.04,0.5195058941909154,134.0885122685114,0.00032169382790961176,4.8
0.4,0.04,0.5650145982154176,138.92638661325452,0.00046462403276047355,4.8
0.45,0.04,0.6061870933382181,143.84055166935403,0.0006289711849025239,4.8
0.5,0.04,0.6434390182810177,148.89848070655287,0.0008089938504323639,4.8
0.55,0.04,0.6771459334612422,154.18183057317125,0.0009982555211277648,4.8
0.6,0.04,0.7076472135426075,159.80580805496717,0.001189948278182197,4.8
0.65,0.04,0.73524954910072,165.92859470599944,0.0013771005311636042,4.8
0.7,0.04,0.7602301145066113,172.7861860533086,0.001552484643107489,4.8
0.75,0.04,0.7828394230354436,180.74288186520616,0.00170831400245226,4.8
0.8,0.04,0.8033039140821572,190.41012113504462,0.0018354113345881396,4.8
0.85,0.04,0.8218282717258852,202.9474937335996,0.0019211685957383322,4.8
