adhesivity_time_400,particle_size,weight_coefficient
0.11,0.09,1.95
0.1,0.1,1.95
0.83,0.01,2.0
0.49,0.02,2.0
0.35,0.03,2.0
0.26,0.04,2.0
0.21,0.05,2.0
0.17,0.06,2.0
0.14,0.07,2.0
0.12,0.08,2.0
0.11,0.09,2.0
0.1,0.1,2.0
0.81,0.01,2.05
0.48,0.02,2.05
0.33,0.03,2.05
0.25,0.04,2.05
0.21,0.05,2.05
0.16,0.06,2.05
0.14,0.07,2.05
0.12,0.08,2.05
0.1,0.09,2.05
0.09,0.1,2.05
0.8,0.01,2.1
0.47,0.02,2.1
0.32,0.03,2.1
0.24,0.04,2.1
0.19,0.05,2.1
0.16,0.06,2.1
0.13,0.07,2.1
0.11,0.08,2.1
0.1,0.09,2.1
0.09,0.1,2.1
0.79,0.01,2.15
0.45,0.02,2.15
0.31,0.03,2.15
0.23,0.04,2.15
0.18,0.05,2.15
0.15,0.06,2.15
0.13,0.07,2.15
0.11,0.08,2.15
0.09,0.09,2.15
0.08,0.1,2.15
0.78,0.01,2.2
0.44,0.02,2.2
0.3,0.03,2.2
0.22,0.04,2.2
0.18,0.05,2.2
0.14,0.06,2.2
0.12,0.07,2.2
0.1,0.08,2.2
0.09,0.09,2.2
0.08,0.1,2.2
0.77,0.01,2.25
0.4,0.02,2.25
0.29,0.03,2.25
0.22,0.04,2.25
0.17,0.05,2.25
0.14,0.06,2.25
0.12,0.07,2.25
0.1,0.08,2.25
0.09,0.09,2.25
0.08,0.1,2.25
0.75,0.01,2.3
0.4,0.02,2.3
0.28,0.03,2.3
0.21,0.04,2.3
0.16,0.05,2.3
0.13,0.06,2.3
0.11,0.07,2.3
0.1,0.08,2.3
0.08,0.09,2.3
0.07,0.1,2.3
0.74,0.01,2.35
0.4,0.02,2.35
0.27,0.03,2.35
0.21,0.04,2.35
0.16,0.05,2.35
0.13,0.06,2.35
0.11,0.07,2.35
0.09,0.08,2.35
0.08,0.09,2.35
0.07,0.1,2.35
0.73,0.01,2.4
0.4,0.02,2.4
0.26,0.03,2.4
0.19,0.04,2.4
0.15,0.05,2.4
