adhesivity,particle_size,volume_time_400_scaled,efficiency_time_400
0.06,0.02,0.8985933505052454,0.1214004849684297
0.07,0.02,0.8846442778833579,0.1389051545991451
0.08,0.02,0.8713779818484162,0.15605527982798792
0.09,0.02,0.8587726238850436,0.1728579652363891
0.1,0.02,0.8467375653186113,0.1893208463147602
0.11,0.02,0.8352533207672961,0.20545078062308367
0.12,0.02,0.8242818840639502,0.22125469058394684
0.13,0.02,0.8137919661366487,0.23673927086535757
0.14,0.02,0.803749687885015,0.25191115868072056
0.15,0.02,0.7941338100915855,0.26677674780914806
0.16,0.02,0.784931597838445,0.28134222559027816
0.17,0.02,0.7760795303840241,0.2956141725180532
0.18,0.02,0.7675829225208625,0.30959836461564705
0.19,0.02,0.7593981075359091,0.323300964626671
0.2,0.02,0.7515459227674788,0.33672736770827627
0.21,0.02,0.7439846952821013,0.35016894565406415
