adhesivity,particle_size,avg_retained_particles,time,ratio,cluster
0.54,0.05,0.6703783472294678,183.18911932234985,0.003378191768152563,1
0.5475,0.05,0.6753126805565852,184.99632700664566,0.0033747591210032284,1
0.5549999999999999,0.05,0.6801799212409616,186.8316886512528,0.0033705287029735737,1
0.5625,0.05,0.6849794299578988,188.6956362311615,0.003365512275085372,1
0.57,0.05,0.689710462707227,190.58863674458584,0.003359720686203709,1
0.5775,0.05,0.6943722082619335,192.5111923223915,0.0033531641353939604,1
0.585,0.05,0.6989638269576162,194.46383985855115,0.0033458524400304156,1
0.5925,0.05,0.7034844902131061,196.4471501339867,0.003337795305222783,1
0.6,0.05,0.7079334201459604,198.4617264061428,0.003329002590179946,1
0.6074999999999999,0.05,0.7123099286244772,200.50820243665484,0.0033194845672215928,1
