adhesivity,particle_size,n,product
0.7,0.03,3,713103.439956915
0.75,0.03,3,686999.5945845979
0.8,0.03,3,662915.9999501205
0.85,0.03,3,641368.2453069411
0.9,0.03,3,622857.3797612777
0.95,0.03,3,608240.0897172019
1.0,0.03,3,598381.0691546954
0.3,0.04,3,1156132.150147088
0.35,0.04,3,1168773.362687938
0.4,0.04,3,1177847.3979640335
0.45,0.04,3,1184582.958711905
0.5,0.04,3,1190672.8362888654
0.55,0.04,3,1197956.176595704
0.6,0.04,3,1208827.4409229956
0.65,0.04,3,1226387.6693219421
0.7,0.04,3,1255189.432481568
0.75,0.04,3,1302373.330143087
0.8,0.04,3,1380571.686937381
0.85,0.04,3,1515898.7702537181
0.9,0.04,3,1778734.9791451853
0.3,0.05,3,1462051.6146984824
0.35,0.05,3,1543635.4597388867
0.4,0.05,3,1629681.6081183932
0.45,0.05,3,1725911.0578812882
0.5,0.05,3,1840382.870065434
0.55,0.05,3,1987353.4313412493
0.6,0.05,3,2192596.6564763226
0.65,0.05,3,2511206.740644522
0.7,0.05,3,3089692.6309778458
0.3,0.06,3,1891279.0680371204
0.35,0.06,3,2109165.9238279792
0.4,0.06,3,2373135.463495819
0.45,0.06,3,2715902.2233177475
0.5,0.06,3,3207233.680992083
0.55,0.06,3,4019048.531125632
0.3,0.07,3,2515476.949724877
0.35,0.07,3,3015570.9925680505
0.4,0.07,3,3724083.6998991654
0.45,0.07,3,4872842.822910486
0.5,0.07,3,7248059.39470778
0.3,0.08,3,3466667.6383393877
0.35,0.08,3,4596563.875968384
0.4,0.08,3,6620243.095753045
0.3,0.09,3,5010644.951541925
0.35,0.09,3,7745246.903369982
0.3,0.1,3,7752693.140387993
0.3,0.03,4,112133948.14874686
0.35,0.03,4,112180912.89542904
0.4,0.03,4,111669098.2544815
0.45,0.03,4,110685940.82884748
0.5,0.03,4,109330175.57879968
0.55,0.03,4,107700558.96564074
0.6,0.03,4,105897511.48598725
0.65,0.03,4,104027879.66067426
0.7,0.03,4,102189906.63805142
0.75,0.03,4,100480096.68473451
0.8,0.03,4,99008659.66586663
0.85,0.03,4,97900481.84776133
0.9,0.03,4,97288380.53200765
0.95,0.03,4,97393671.10956025
1.0,0.03,4,98463238.82774627
0.3,0.04,4,149468891.93846262
0.35,0.04,4,156719081.3818909
0.4,0.04,4,163634082.98096716
0.45,0.04,4,170391066.27923602
0.5,0.04,4,177289376.3419742
0.55,0.04,4,184703076.25396287
0.6,0.04,4,193177645.9957174
0.65,0.04,4,203492782.53535578
0.7,0.04,4,216879394.81290704
0.75,0.04,4,235394708.95444712
0.8,0.04,4,262874822.14535964
0.85,0.04,4,307647856.17683774
0.9,0.04,4,393322689.3990552
0.3,0.05,4,204267874.12164387
0.35,0.05,4,226922732.0624382
0.4,0.05,4,252071264.7854778
0.45,0.05,4,281173759.8487632
0.5,0.05,4,316507534.8325181
0.55,0.05,4,362312983.40202314
0.6,0.05,4,426763942.3748555
0.65,0.05,4,528344324.85804296
0.7,0.05,4,719579440.2450391
0.3,0.06,4,287715323.6300816
0.35,0.06,4,343792826.75600773
0.4,0.06,4,415690235.4033393
0.45,0.06,4,514130289.0014592
0.5,0.06,4,663016552.6392035
0.55,0.06,4,925358878.521902
0.3,0.07,4,420550778.962885
0.35,0.07,4,553305513.5823792
0.4,0.07,4,757360147.6921788
0.45,0.07,4,1119692729.4686418
0.5,0.07,4,1963693762.5275128
0.3,0.08,4,644523384.6975453
0.35,0.08,4,969827112.3318783
0.4,0.08,4,1629353058.1193316
0.3,0.09,4,1052538303.8052636
0.35,0.09,4,1942916972.986971
0.3,0.1,4,1882187089.789349
0.3,0.03,5,13498715188.288334
0.35,0.03,5,13843761052.941818
0.4,0.03,5,14109248523.326445
0.45,0.03,5,14303171449.052282
0.5,0.03,5,14436724519.351292
0.55,0.03,5,14522404032.780445
0.6,0.03,5,14574415463.11153
0.65,0.03,5,14609450957.36711
0.7,0.03,5,14644126551.015669
0.75,0.03,5,14696151073.973204
0.8,0.03,5,14787265188.302872
0.85,0.03,5,14943839855.116255
0.9,0.03,5,15196141675.592548
0.95,0.03,5,15595037769.719252
1.0,0.03,5,16202065707.301676
0.3,0.04,5,19323871976.46005
0.35,0.04,5,21014228466.585518
0.4,0.04,5,22733091875.319218
0.45,0.04,5,24509144973.134773
0.5,0.04,5,26398118782.73224
0.55,0.04,5,28477858409.33203
0.6,0.04,5,30870909816.502007
0.65,0.04,5,33765271438.905132
0.7,0.04,5,37473763463.271935
0.75,0.04,5,42545918072.24822
0.8,0.04,5,50054026728.05124
0.85,0.04,5,62436361363.60413
0.9,0.04,5,86973461369.97423
0.3,0.05,5,28538913386.29706
