adhesivity,particle_size,n,product
0.75,0.08,0.01,0.8207863668402894
0.8,0.08,0.01,0.8418540345973341
0.85,0.08,0.01,0.8608148189910808
0.9,0.08,0.01,0.8778779419815488
0.95,0.08,0.01,0.8932326126733418
1.0,0.08,0.01,0.9070489579018067
0.3,0.09,0.01,0.4886292238541764
0.35,0.09,0.01,0.543127832809637
0.4,0.09,0.01,0.5921074891219176
0.45,0.09,0.01,0.6361424876127202
0.5,0.09,0.01,0.6757422552780736
0.55,0.09,0.01,0.7113574714124093
0.6,0.09,0.01,0.7433929293945036
0.65,0.09,0.01,0.7722105139493971
0.7,0.09,0.01,0.7981343592879137
0.75,0.09,0.01,0.8214553809757258
0.8,0.09,0.01,0.8424358234849961
0.85,0.09,0.01,0.8613067112814485
0.9,0.09,0.01,0.8782821613343053
0.95,0.09,0.01,0.8935508339826268
1.0,0.09,0.01,0.9072825219674326
0.3,0.1,0.01,0.4898790114644179
0.35,0.1,0.01,0.544384341585199
0.4,0.1,0.01,0.5933456536146612
0.45,0.1,0.01,0.6373441893341361
0.5,0.1,0.01,0.6768920876552775
0.55,0.1,0.01,0.7124443167730806
0.6,0.1,0.01,0.744408244631639
0.65,0.1,0.01,0.7731480826097148
0.7,0.1,0.01,0.7989910646010341
0.75,0.1,0.01,0.822227434500638
0.8,0.1,0.01,0.8431210882266681
0.85,0.1,0.01,0.8619068241342963
0.9,0.1,0.01,0.878796737640716
0.95,0.1,0.01,0.8939809421300359
1.0,0.1,0.01,0.9076302685204704
0.3,0.03,0.02,0.511382642985162
0.35,0.03,0.02,0.568475765398911
0.4,0.03,0.02,0.6199639428172985
0.45,0.03,0.02,0.6664034898072088
0.5,0.03,0.02,0.7082901777123922
0.55,0.03,0.02,0.746067533742998
0.6,0.03,0.02,0.7801320486703068
0.65,0.03,0.02,0.8108408092773817
0.7,0.03,0.02,0.8385127566151046
0.75,0.03,0.02,0.8634362357282875
0.8,0.03,0.02,0.8857332363047021
0.85,0.03,0.02,0.905713550815328
0.9,0.03,0.02,0.9236940551959845
0.95,0.03,0.02,0.9398710559329667
1.0,0.03,0.02,0.954427193569871
0.3,0.04,0.02,0.5112731894854471
0.35,0.04,0.02,0.568138205176004
0.4,0.04,0.02,0.6193810739317624
0.45,0.04,0.02,0.6655614685348782
0.5,0.04,0.02,0.7071773410639413
0.55,0.04,0.02,0.7446722650397104
0.6,0.04,0.02,0.7784429868521071
0.65,0.04,0.02,0.8086518029973601
0.7,0.04,0.02,0.8358321442261215
0.75,0.04,0.02,0.8602882422919881
0.8,0.04,0.02,0.8822917533566678
0.85,0.04,0.02,0.9020865972071178
0.9,0.04,0.02,0.9198914010624802
0.95,0.04,0.02,0.9359030462977311
1.0,0.04,0.02,0.9502987054824122
0.3,0.05,0.02,0.511317790441436
0.35,0.05,0.02,0.5679970049041394
0.4,0.05,0.02,0.6190376288434843
0.45,0.05,0.02,0.6650024282061481
0.5,0.05,0.02,0.7063640992059715
0.55,0.05,0.02,0.7434801284130823
0.6,0.05,0.02,0.7768606100357018
0.65,0.05,0.02,0.80688144348911
0.7,0.05,0.02,0.8338817244203497
0.75,0.05,0.02,0.8581634520842117
0.8,0.05,0.02,0.8800011309613999
0.85,0.05,0.02,0.8996353226642568
0.9,0.05,0.02,0.9172869605624345
0.95,0.05,0.02,0.9331535824291617
1.0,0.05,0.02,0.9474121993333541
0.3,0.06,0.02,0.5114889909910955
0.35,0.06,0.02,0.5680167337339135
0.4,0.06,0.02,0.6188906592131836
0.45,0.06,0.02,0.6646364451683224
0.5,0.06,0.02,0.7057449972770328
0.55,0.06,0.02,0.742695777305092
0.6,0.06,0.02,0.7759112847596257
0.65,0.06,0.02,0.8057712961480069
0.7,0.06,0.02,0.8326142923749345
0.75,0.06,0.02,0.8567432091689998
0.8,0.06,0.02,0.8784311279430528
0.85,0.06,0.02,0.8979225409517472
0.9,0.06,0.02,0.9154370611636462
0.95,0.06,0.02,0.9311744161089773
1.0,0.06,0.02,0.9453087253023789
0.3,0.07,0.02,0.5117665225361654
0.35,0.07,0.02,0.5681719734329513
0.4,0.07,0.02,0.6189458256069226
0.45,0.07,0.02,0.6645521902874879
0.5,0.07,0.02,0.7055202002634609
0.55,0.07,0.02,0.742327202975218
0.6,0.07,0.02,0.7753988415847258
0.65,0.07,0.02,0.8051147978966727
0.7,0.07,0.02,0.8318153048639505
0.75,0.07,0.02,0.8558050743578546
0.8,0.07,0.02,0.8773578110642741
0.85,0.07,0.02,0.8967188603948392
0.9,0.07,0.02,0.9141073062560093
0.95,0.07,0.02,0.9297217859141024
1.0,0.07,0.02,0.9437388383602705
0.3,0.08,0.02,0.5121354395271405
0.35,0.08,0.02,0.5685678365719168
0.4,0.08,0.02,0.6192463540812245
0.45,0.08,0.02,0.6647376881158522
0.5,0.08,0.02,0.7055828081895401
0.55,0.08,0.02,0.7422621173572806
0.6,0.08,0.02,0.7752033383202447
0.65,0.08,0.02,0.8047883327161021
0.7,0.08,0.02,0.8313584210521487
0.75,0.08,0.02,0.8552197023576807
0.8,0.08,0.02,0.8766464576597285
0.85,0.08,0.02,0.8958839686897372
0.9,0.08,0.02,0.9131539985208535
0.95,0.08,0.02,0.9286546041548603
1.0,0.08,0.02,0.9425631977934608
0.3,0.09,0.02,0.5127362666188443
0.35,0.09,0.02,0.5691462358123874
0.4,0.09,0.02,0.6197373311588245
0.45,0.09,0.02,0.6651281437854683
0.5,0.09,0.02,0.7058641306956658
0.55,0.09,0.02,0.7424278540720223
0.6,0.09,0.02,0.7752497476248316
0.65,0.09,0.02,0.8047136704152001
0.7,0.09,0.02,0.8311626878108401
0.75,0.09,0.02,0.8549038407169571
0.8,0.09,0.02,0.8762116185844309
0.85,0.09,0.02,0.8953343707262312
0.9,0.09,0.02,0.9124917626128084
0.95,0.09,0.02,0.9278825557703877
1.0,0.09,0.02,0.941686172979389
0.3,0.1,0.02,0.5135052693017971
0.35,0.1,0.02,0.569860818894874
0.4,0.1,0.02,0.6203775696759106
0.45,0.1,0.02,0.6656801784267768
0.5,0.1,0.02,0.7063174002261143
0.55,0.1,0.02,0.7427752016074554
0.6,0.1,0.02,0.7754864764574172
0.65,0.1,0.02,0.8048371452434075
0.7,0.1,0.02,0.8311720453664364
0.75,0.1,0.02,0.8547991650697447
0.8,0.1,0.02,0.875994790430139
0.85,0.1,0.02,0.895006409020765
0.9,0.1,0.02,0.9120558352733855
0.95,0.1,0.02,0.9273421512820471
1.0,0.1,0.02,0.9410439213462912
0.3,0.03,0.03,0.5401158318008528
0.35,0.03,0.03,0.6001106421623471
0.4,0.03,0.03,0.6541582736679924
0.45,0.03,0.03,0.7028528513342148
0.5,0.03,0.03,0.7467212193685248
0.55,0.03,0.03,0.7862337373935095
0.6,0.03,0.03,0.821809162200903
0.65,0.03,0.03,0.8538252163527194
0.7,0.03,0.03,0.8826171760515227
0.75,0.03,0.03,0.9084891011630404
0.8,0.03,0.03,0.9314692787502864
0.85,0.03,0.03,0.9519459591175864
0.9,0.03,0.03,0.9703279202396085
0.95,0.03,0.03,0.9868223734531104
1.0,0.03,0.03,1.0016258217290968
0.3,0.04,0.03,0.5392930393898552
0.35,0.04,0.03,0.598904533815105
0.4,0.04,0.03,0.6525504495006563
0.45,0.04,0.03,0.7008269835080619
0.5,0.04,0.03,0.7442627531863117
0.55,0.04,0.03,0.7833262933763078
0.6,0.04,0.03,0.8184359502514436
0.65,0.04,0.03,0.8495779560710098
0.7,0.04,0.03,0.8775377138351879
0.75,0.04,0.03,0.9026408972574501
0.8,0.04,0.03,0.9251761188894346
0.85,0.04,0.03,0.9454018696084365
0.9,0.04,0.03,0.9635489280347588
0.95,0.04,0.03,0.9798250365783212
1.0,0.04,0.03,0.9944169105564583
0.3,0.05,0.03,0.5387071530252238
0.35,0.05,0.03,0.5979973799234448
0.4,0.05,0.03,0.6513040776054949
0.45,0.05,0.03,0.6992245666754914
0.5,0.05,0.03,0.7422144748194188
0.55,0.05,0.03,0.7805445900886696
0.6,0.05,0.03,0.8149472608796907
0.65,0.05,0.03,0.8458223609093889
0.7,0.05,0.03,0.8735326384710291
0.75,0.05,0.03,0.8983977424647875
0.8,0.05,0.03,0.9207111968391523
0.85,0.05,0.03,0.9407237431989179
0.9,0.05,0.03,0.9586701932898124
0.95,0.05,0.03,0.974758982077
1.0,0.05,0.03,0.9891760552009069
0.3,0.06,0.03,0.5383136257103255
0.35,0.06,0.03,0.5973329958911957
0.4,0.06,0.03,0.6503498941678982
0.45,0.06,0.03,0.697751302071475
0.5,0.06,0.03,0.7402096738441866
0.55,0.06,0.03,0.7782968328016127
0.6,0.06,0.03,0.8124626250299475
0.65,0.06,0.03,0.8431144179542203
0.7,0.06,0.03,0.8706107634595746
0.75,0.06,0.03,0.8952716201033742
0.8,0.06,0.03,0.917386728193338
0.85,0.06,0.03,0.9372140021125027
0.9,0.06,0.03,0.9549847555168266
0.95,0.06,0.03,0.9709113133719823
1.0,0.06,0.03,0.9851731862896648
0.3,0.07,0.03,0.5380807119646195
0.35,0.07,0.03,0.5968695303930257
0.4,0.07,0.03,0.6494625445130455
0.45,0.07,0.03,0.6965857786843715
0.5,0.07,0.03,0.7388301548045316
0.55,0.07,0.03,0.7767075911299076
0.6,0.07,0.03,0.8106718615000116
0.65,0.07,0.03,0.8411252333962587
0.7,0.07,0.03,0.8684293396606544
0.75,0.07,0.03,0.8929066376939642
0.8,0.07,0.03,0.9148468483222316
0.85,0.07,0.03,0.9345085302490822
0.9,0.07,0.03,0.9521207243520611
0.95,0.07,0.03,0.9678932737941297
1.0,0.07,0.03,0.9820100675676656
0.3,0.08,0.03,0.5379840025719941
0.35,0.08,0.03,0.5965092114530635
0.4,0.08,0.03,0.64890862832639
0.45,0.08,0.03,0.6958476436367417
0.5,0.08,0.03,0.7379070189260917
0.55,0.08,0.03,0.7755997539695559
0.6,0.08,0.03,0.8093809702000713
0.65,0.08,0.03,0.8396566344581626
0.7,0.08,0.03,0.866787255001731
0.75,0.08,0.03,0.8910975728268616
0.8,0.08,0.03,0.9128767935345639
0.85,0.08,0.03,0.9323818173762065
0.9,0.08,0.03,0.9498475643805945
0.95,0.08,0.03,0.9654812885044118
1.0,0.08,0.03,0.9794679483340651
0.3,0.09,0.03,0.5380326559933476
0.35,0.09,0.03,0.5964110439041784
0.4,0.09,0.03,0.6486564799263665
0.45,0.09,0.03,0.6954345233497912
0.5,0.09,0.03,0.7373287183257711
0.55,0.09,0.03,0.774855316283633
0.6,0.09,0.03,0.8084717347014475
0.65,0.09,0.03,0.8385849190801592
0.7,0.09,0.03,0.8655577918300522
0.75,0.09,0.03,0.8897142727393025
0.8,0.09,0.03,0.911341587263379
0.85,0.09,0.03,0.930706361513292
0.9,0.09,0.03,0.9480338477685385
0.95,0.09,0.03,0.9635333598935754
1.0,0.09,0.03,0.9773943913937748
0.3,0.1,0.03,0.5382709922853346
0.35,0.1,0.03,0.5965295621213468
0.4,0.1,0.03,0.6486410182873539
0.45,0.1,0.03,0.6952759707643441
0.5,0.1,0.03,0.7370218664991177
0.55,0.1,0.03,0.7743973629011652
0.6,0.1,0.03,0.807862190545626
0.65,0.1,0.03,0.837825049215764
0.7,0.1,0.03,0.8646491802052767
0.75,0.1,0.03,0.8886611926877584
0.8,0.1,0.03,0.9101502543065809
0.85,0.1,0.03,0.9293771087063966
0.9,0.1,0.03,0.9465736626304156
0.95,0.1,0.03,0.9619483201682474
1.0,0.1,0.03,0.9756876699874317
0.3,0.03,0.04,0.5704634597275364
0.35,0.03,0.04,0.6335059553221097
0.4,0.03,0.04,0.690238604948023
0.45,0.03,0.04,0.7412958338071598
0.5,0.03,0.04,0.7872374868392317
0.55,0.03,0.04,0.8285623778781243
0.6,0.03,0.04,0.8657127985300471
0.65,0.03,0.04,0.8990883188642977
0.7,0.03,0.04,0.929041416860338
0.75,0.03,0.04,0.9558927605532611
0.8,0.03,0.04,0.9795669640617423
0.85,0.03,0.04,1.000538313978558
0.9,0.03,0.04,1.0193161550625698
0.95,0.03,0.04,1.0361191469833757
1.0,0.03,0.04,1.0511585310158527
0.3,0.04,0.04,0.5688484910132889
0.35,0.04,0.04,0.631336948222256
0.4,0.04,0.04,0.6874961264806447
0.45,0.04,0.04,0.7379610810316471
0.5,0.04,0.04,0.7832929784586864
0.55,0.04,0.04,0.823986753235592
0.6,0.04,0.04,0.8604835755187332
0.65,0.04,0.04,0.8925753961920628
0.7,0.04,0.04,0.9213242689010019
0.75,0.04,0.04,0.9470786061553529
0.8,0.04,0.04,0.9701449069504086
0.85,0.04,0.04,0.9907970008936022
0.9,0.04,0.04,1.0092784166093889
0.95,0.04,0.04,1.0258082886934994
1.0,0.04,0.04,1.0405833305841043
0.3,0.05,0.04,0.5675636603021359
0.35,0.05,0.04,0.6295823099554141
0.4,0.05,0.04,0.6852523687421874
0.45,0.05,0.04,0.7352078336937544
0.5,0.05,0.04,0.7798843786805081
0.55,0.05,0.04,0.8194568137511623
0.6,0.05,0.04,0.8549011617216494
0.65,0.05,0.04,0.8866426065280903
0.7,0.05,0.04,0.9150689457843406
0.75,0.05,0.04,0.9405183845869772
0.8,0.05,0.04,0.9633045665053444
0.85,0.05,0.04,0.9836887666853544
0.9,0.05,0.04,1.001920422959912
0.95,0.05,0.04,1.0182193917815432
1.0,0.05,0.04,1.0327809467424285
0.3,0.06,0.04,0.5665450571358266
0.35,0.06,0.04,0.6281623177451966
0.4,0.06,0.04,0.6834082540232768
0.45,0.06,0.04,0.7325160741360488
