adhesivity_throughput_100,particle_size,weight_coefficient
0.06,0.09,5.1
0.05,0.1,5.1
1.0,0.01,5.2
0.4,0.02,5.2
0.25,0.03,5.2
0.17,0.04,5.2
0.13,0.05,5.2
0.1,0.06,5.2
0.08,0.07,5.2
0.07,0.08,5.2
0.06,0.09,5.2
0.05,0.1,5.2
1.0,0.01,5.3
0.4,0.02,5.3
0.25,0.03,5.3
0.17,0.04,5.3
0.13,0.05,5.3
0.1,0.06,5.3
0.08,0.07,5.3
0.07,0.08,5.3
0.06,0.09,5.3
0.05,0.1,5.3
1.0,0.01,5.4
0.4,0.02,5.4
0.24,0.03,5.4
0.17,0.04,5.4
0.12,0.05,5.4
0.1,0.06,5.4
0.08,0.07,5.4
0.07,0.08,5.4
0.06,0.09,5.4
0.05,0.1,5.4
1.0,0.01,5.5
0.4,0.02,5.5
0.24,0.03,5.5
0.16,0.04,5.5
0.12,0.05,5.5
0.1,0.06,5.5
0.08,0.07,5.5
0.07,0.08,5.5
0.06,0.09,5.5
0.05,0.1,5.5
1.0,0.01,5.6
0.4,0.02,5.6
0.23,0.03,5.6
0.16,0.04,5.6
0.12,0.05,5.6
0.09,0.06,5.6
0.08,0.07,5.6
0.07,0.08,5.6
0.06,0.09,5.6
0.05,0.1,5.6
1.0,0.01,5.7
0.39,0.02,5.7
0.23,0.03,5.7
0.16,0.04,5.7
0.12,0.05,5.7
0.09,0.06,5.7
0.08,0.07,5.7
0.06,0.08,5.7
0.05,0.09,5.7
0.05,0.1,5.7
0.98,0.01,5.8
0.39,0.02,5.8
0.22,0.03,5.8
0.15,0.04,5.8
0.12,0.05,5.8
0.09,0.06,5.8
0.07,0.07,5.8
0.06,0.08,5.8
0.05,0.09,5.8
0.05,0.1,5.8
0.97,0.01,5.9
0.38,0.02,5.9
0.22,0.03,5.9
0.15,0.04,5.9
0.11,0.05,5.9
0.09,0.06,5.9
0.07,0.07,5.9
0.06,0.08,5.9
0.05,0.09,5.9
0.05,0.1,5.9
0.96,0.01,6.0
0.37,0.02,6.0
0.21,0.03,6.0
0.15,0.04,6.0
0.11,0.05,6.0
0.09,0.06,6.0
0.07,0.07,6.0
0.06,0.08,6.0
0.05,0.09,6.0
0.04,0.1,6.0
0.94,0.01,6.1
0.36,0.02,6.1
0.21,0.03,6.1
0.14,0.04,6.1
0.11,0.05,6.1
0.09,0.06,6.1
0.07,0.07,6.1
0.06,0.08,6.1
0.05,0.09,6.1
0.04,0.1,6.1
0.93,0.01,6.2
0.36,0.02,6.2
0.21,0.03,6.2
0.14,0.04,6.2
0.11,0.05,6.2
0.08,0.06,6.2
0.07,0.07,6.2
0.06,0.08,6.2
0.05,0.09,6.2
0.04,0.1,6.2
0.92,0.01,6.3
0.35,0.02,6.3
0.21,0.03,6.3
0.14,0.04,6.3
0.11,0.05,6.3
0.08,0.06,6.3
0.07,0.07,6.3
0.06,0.08,6.3
0.05,0.09,6.3
0.04,0.1,6.3
0.9,0.01,6.4
0.34,0.02,6.4
0.2,0.03,6.4
0.14,0.04,6.4
0.1,0.05,6.4
0.08,0.06,6.4
0.07,0.07,6.4
0.06,0.08,6.4
0.05,0.09,6.4
0.04,0.1,6.4
0.89,0.01,6.5
0.34,0.02,6.5
0.2,0.03,6.5
0.13,0.04,6.5
0.1,0.05,6.5
0.08,0.06,6.5
0.07,0.07,6.5
0.05,0.08,6.5
0.05,0.09,6.5
0.04,0.1,6.5
0.88,0.01,6.6
0.33,0.02,6.6
0.19,0.03,6.6
0.13,0.04,6.6
0.1,0.05,6.6
0.08,0.06,6.6
0.06,0.07,6.6
0.05,0.08,6.6
0.05,0.09,6.6
0.04,0.1,6.6
0.87,0.01,6.7
0.33,0.02,6.7
0.19,0.03,6.7
0.13,0.04,6.7
0.1,0.05,6.7
0.08,0.06,6.7
0.06,0.07,6.7
0.05,0.08,6.7
0.04,0.09,6.7
0.04,0.1,6.7
0.85,0.01,6.8
0.32,0.02,6.8
0.19,0.03,6.8
0.13,0.04,6.8
0.1,0.05,6.8
0.08,0.06,6.8
0.06,0.07,6.8
0.05,0.08,6.8
0.04,0.09,6.8
0.04,0.1,6.8
0.84,0.01,6.9
0.31,0.02,6.9
0.18,0.03,6.9
0.13,0.04,6.9
0.09,0.05,6.9
0.07,0.06,6.9
0.06,0.07,6.9
0.05,0.08,6.9
0.04,0.09,6.9
0.04,0.1,6.9
0.83,0.01,7.0
0.31,0.02,7.0
0.18,0.03,7.0
0.12,0.04,7.0
0.09,0.05,7.0
0.07,0.06,7.0
0.06,0.07,7.0
0.05,0.08,7.0
0.04,0.09,7.0
0.04,0.1,7.0
0.81,0.01,7.1
0.3,0.02,7.1
0.18,0.03,7.1
0.12,0.04,7.1
0.09,0.05,7.1
0.07,0.06,7.1
0.06,0.07,7.1
0.05,0.08,7.1
0.04,0.09,7.1
0.04,0.1,7.1
0.8,0.01,7.2
0.3,0.02,7.2
0.17,0.03,7.2
0.12,0.04,7.2
0.09,0.05,7.2
0.07,0.06,7.2
0.06,0.07,7.2
0.05,0.08,7.2
0.04,0.09,7.2
0.04,0.1,7.2
0.79,0.01,7.3
0.29,0.02,7.3
0.17,0.03,7.3
0.12,0.04,7.3
0.09,0.05,7.3
0.07,0.06,7.3
0.06,0.07,7.3
0.05,0.08,7.3
0.04,0.09,7.3
0.03,0.1,7.3
0.78,0.01,7.4
0.29,0.02,7.4
0.17,0.03,7.4
0.12,0.04,7.4
0.09,0.05,7.4
0.07,0.06,7.4
0.06,0.07,7.4
0.05,0.08,7.4
0.04,0.09,7.4
0.03,0.1,7.4
0.77,0.01,7.5
0.28,0.02,7.5
0.17,0.03,7.5
0.11,0.04,7.5
0.09,0.05,7.5
0.07,0.06,7.5
0.06,0.07,7.5
0.05,0.08,7.5
0.04,0.09,7.5
0.03,0.1,7.5
0.76,0.01,7.6
0.28,0.02,7.6
0.16,0.03,7.6
0.11,0.04,7.6
0.08,0.05,7.6
0.07,0.06,7.6
0.05,0.07,7.6
0.05,0.08,7.6
0.04,0.09,7.6
0.03,0.1,7.6
0.75,0.01,7.7
0.28,0.02,7.7
0.16,0.03,7.7
0.11,0.04,7.7
0.08,0.05,7.7
0.07,0.06,7.7
0.05,0.07,7.7
0.04,0.08,7.7
0.04,0.09,7.7
0.03,0.1,7.7
0.73,0.01,7.8
0.27,0.02,7.8
0.16,0.03,7.8
0.11,0.04,7.8
0.08,0.05,7.8
0.06,0.06,7.8
0.05,0.07,7.8
0.04,0.08,7.8
0.04,0.09,7.8
0.03,0.1,7.8
0.72,0.01,7.9
0.27,0.02,7.9
0.16,0.03,7.9
0.11,0.04,7.9
0.08,0.05,7.9
0.06,0.06,7.9
0.05,0.07,7.9
0.04,0.08,7.9
0.04,0.09,7.9
0.03,0.1,7.9
0.71,0.01,8.0
0.26,0.02,8.0
0.15,0.03,8.0
0.11,0.04,8.0
0.08,0.05,8.0
0.06,0.06,8.0
0.05,0.07,8.0
0.04,0.08,8.0
0.04,0.09,8.0
0.03,0.1,8.0
0.7,0.01,8.1
0.26,0.02,8.1
0.15,0.03,8.1
0.1,0.04,8.1
0.08,0.05,8.1
0.06,0.06,8.1
0.05,0.07,8.1
0.04,0.08,8.1
0.03,0.09,8.1
0.03,0.1,8.1
0.69,0.01,8.2
0.26,0.02,8.2
0.15,0.03,8.2
0.1,0.04,8.2
0.08,0.05,8.2
0.06,0.06,8.2
0.05,0.07,8.2
0.04,0.08,8.2
0.03,0.09,8.2
0.03,0.1,8.2
0.68,0.01,8.3
0.25,0.02,8.3
0.15,0.03,8.3
0.1,0.04,8.3
0.08,0.05,8.3
0.06,0.06,8.3
0.05,0.07,8.3
0.04,0.08,8.3
0.03,0.09,8.3
0.03,0.1,8.3
0.67,0.01,8.4
0.25,0.02,8.4
0.15,0.03,8.4
0.1,0.04,8.4
0.08,0.05,8.4
0.06,0.06,8.4
0.05,0.07,8.4
0.04,0.08,8.4
0.03,0.09,8.4
0.03,0.1,8.4
0.66,0.01,8.5
0.24,0.02,8.5
0.14,0.03,8.5
0.1,0.04,8.5
0.07,0.05,8.5
0.06,0.06,8.5
0.05,0.07,8.5
0.04,0.08,8.5
0.03,0.09,8.5
0.03,0.1,8.5
0.65,0.01,8.6
0.24,0.02,8.6
0.14,0.03,8.6
0.1,0.04,8.6
0.07,0.05,8.6
0.06,0.06,8.6
0.05,0.07,8.6
0.04,0.08,8.6
0.03,0.09,8.6
0.03,0.1,8.6
0.64,0.01,8.7
0.24,0.02,8.7
0.14,0.03,8.7
0.1,0.04,8.7
0.07,0.05,8.7
0.06,0.06,8.7
0.05,0.07,8.7
0.04,0.08,8.7
0.03,0.09,8.7
0.03,0.1,8.7
0.63,0.01,8.8
0.23,0.02,8.8
0.14,0.03,8.8
0.1,0.04,8.8
0.07,0.05,8.8
0.06,0.06,8.8
0.05,0.07,8.8
0.04,0.08,8.8
0.03,0.09,8.8
