adhesivity,particle_size,weight_coefficient,gamma
0.1,0.1,0.0,0.1944288842654891
0.2,0.1,0.0,0.34461755838649843
0.3,0.1,0.0,0.46733979224722255
0.4,0.1,0.0,0.5674916081303951
0.5,0.1,0.0,0.6486926390085266
0.6,0.1,0.0,0.7145754974438763
0.7,0.1,0.0,0.7680560539435007
0.8,0.1,0.0,0.8114810466663523
0.9,0.1,0.0,0.8467504687983013
1.0,0.1,0.0,0.8754030344896051
0.1,0.01,0.25,0.18470209281036648
0.2,0.01,0.25,0.32338031696348307
0.3,0.01,0.25,0.4335258887255463
0.4,0.01,0.25,0.5214970850326066
0.5,0.01,0.25,0.5919657405189872
0.6,0.01,0.25,0.6484598848952872
0.7,0.01,0.25,0.6936934964659203
0.8,0.01,0.25,0.7297848753759141
0.9,0.01,0.25,0.7584054082195874
1.0,0.01,0.25,0.780875478886855
0.1,0.02,0.25,0.18165985666276924
0.2,0.02,0.25,0.31368445776743265
0.3,0.02,0.25,0.4162677959983152
0.4,0.02,0.25,0.4966814417233791
0.5,0.02,0.25,0.5598204633823627
0.6,0.02,0.25,0.6091737733254966
0.7,0.02,0.25,0.6473110539854048
0.8,0.02,0.25,0.6761789038285807
0.9,0.02,0.25,0.6972757499848142
1.0,0.02,0.25,0.7118031635345468
0.1,0.03,0.25,0.17892838230335587
0.2,0.03,0.25,0.3054342927048921
0.3,0.03,0.25,0.40204275342851736
0.4,0.03,0.25,0.47657229926148864
0.5,0.03,0.25,0.5339290027709788
0.6,0.03,0.25,0.5774559822708771
0.7,0.03,0.25,0.6095885359978992
0.8,0.03,0.25,0.6305167275130498
0.9,0.03,0.25,0.6411975836474852
1.0,0.03,0.25,0.6476942986610454
0.1,0.04,0.25,0.176458174526168
0.2,0.04,0.25,0.2982912225168921
0.3,0.04,0.25,0.390022190328775
0.4,0.04,0.25,0.4597636888956365
0.5,0.04,0.25,0.5123493039190262
0.6,0.04,0.25,0.5509893730398303
0.7,0.04,0.25,0.5727678798784555
0.8,0.04,0.25,0.5877297645398284
0.9,0.04,0.25,0.597554428626889
1.0,0.04,0.25,0.6034447298381256
0.1,0.05,0.25,0.1742093899268296
0.2,0.05,0.25,0.2920268690368284
0.3,0.05,0.25,0.37966293006685775
0.4,0.05,0.25,0.44538671822170856
0.5,0.05,0.25,0.49321020818001154
0.6,0.05,0.25,0.5222944000592806
0.7,0.05,0.25,0.5427590998630827
0.8,0.05,0.25,0.5567916363758163
0.9,0.05,0.25,0.5659294953253428
1.0,0.05,0.25,0.5713737551913314
0.1,0.06,0.25,0.172158073310467
0.2,0.06,0.25,0.28647082326040907
0.3,0.06,0.25,0.3705955340821966
0.4,0.06,0.25,0.43287378487445777
0.5,0.06,0.25,0.4724900003848885
0.6,0.06,0.25,0.5001468168243639
0.7,0.06,0.25,0.5196043589330134
0.8,0.06,0.25,0.5328704605173408
0.9,0.06,0.25,0.54147237271223
1.0,0.06,0.25,0.5465800156951707
0.1,0.07,0.25,0.17027278518020972
0.2,0.07,0.25,0.28149687818666486
0.3,0.07,0.25,0.36257225248926456
0.4,0.07,0.25,0.4186696546060551
0.5,0.07,0.25,0.45583023397566863
0.6,0.07,0.25,0.48235748658932825
0.7,0.07,0.25,0.5009406390820869
0.8,0.07,0.25,0.5135818691337886
0.9,0.07,0.25,0.5217512042007526
1.0,0.07,0.25,0.5265157963083968
0.1,0.08,0.25,0.16853602456632688
0.2,0.08,0.25,0.27701353192712413
0.3,0.08,0.25,0.35539725194875293
0.4,0.08,0.25,0.40617252608265153
0.5,0.08,0.25,0.44204548828543644
0.6,0.08,0.25,0.46758417073444886
0.7,0.08,0.25,0.4854341070204968
0.8,0.08,0.25,0.4975379718828871
0.9,0.08,0.25,0.5053083304468837
1.0,0.08,0.25,0.5098351020892368
0.1,0.09,0.25,0.16693107939419094
0.2,0.09,0.25,0.27293883652379686
0.3,0.09,0.25,0.3470681979966829
0.4,0.09,0.25,0.3955997764676084
0.5,0.09,0.25,0.43035509759705354
0.6,0.09,0.25,0.4550513496411628
0.7,0.09,0.25,0.47228240325116827
0.8,0.09,0.25,0.483898391756152
0.9,0.09,0.25,0.4913561997095163
1.0,0.09,0.25,0.49562718814931195
0.1,0.1,0.25,0.1654388615130897
0.2,0.1,0.25,0.2692251573852529
0.3,0.1,0.25,0.3392497640992144
0.4,0.1,0.25,0.38650266097459646
0.5,0.1,0.25,0.42027704028649515
0.6,0.1,0.25,0.4442316289144763
0.7,0.1,0.25,0.4608961321618409
0.8,0.1,0.25,0.4721202917605615
