adhesivity,particle_size,weight_coefficient,gamma
0.1,0.08,0.75,16.018245008368808
0.8,0.02,0.75,47.366965550808146
0.1,0.1,0.75,13.680829589463777
0.2,0.07,0.75,19.87409533708939
0.9,0.07,0.75,17.894532881714056
0.3,0.02,0.75,52.173213402975556
0.9,0.05,0.75,22.986749333765733
0.2,0.05,0.75,25.367154671948747
0.8,0.01,0.75,80.88554966774863
0.2,0.04,0.75,29.862156254987116
0.9,0.04,0.75,27.148956204177107
0.3,0.01,0.75,85.5083419272424
1.0,0.04,0.75,26.095803178802644
0.1,0.01,0.75,50.2015439780289
1.0,0.05,0.75,22.088509024121457
1.0,0.07,0.75,17.184306117434232
0.1,0.03,0.75,32.348179097097784
0.8,0.09,0.75,15.448212664614195
0.3,0.09,0.75,17.244864226696365
0.1,0.02,0.75,39.01672692253489
1.0,0.06,0.75,19.280334882054404
0.3,0.08,0.75,18.77321459934422
0.8,0.08,0.75,16.854872132709943
0.6,0.1,0.75,15.35596745493716
0.9,0.08,0.75,16.201897131247115
0.2,0.08,0.75,18.05621346149617
1.0,0.03,0.75,32.36088838943043
0.1,0.07,0.75,17.615506005939654
0.2,0.09,0.75,16.598015440767732
0.9,0.09,0.75,14.84759016838687
0.1,0.06,0.75,19.677750792339943
1.0,0.02,0.75,43.86965064847486
0.1,0.04,0.75,26.481414568088194
0.1,0.05,0.75,22.45107682259002
1.0,0.01,0.75,74.81406064516383
0.5,0.06,0.75,22.922133375265183
0.4,0.03,0.75,38.75562711262963
0.6,0.09,0.75,16.58577526835031
0.4,0.02,0.75,52.48342465671322
0.5,0.07,0.75,20.468033001100796
0.6,0.08,0.75,18.08183683853323
0.5,0.05,0.75,26.21724990288107
0.4,0.01,0.75,90.35705149367485
0.5,0.04,0.75,30.918025882449584
0.3,0.1,0.75,15.989619687723499
0.4,0.04,0.75,31.324626980623638
0.5,0.01,0.75,88.90446373433831
0.4,0.05,0.75,26.578138727502722
0.5,0.1,0.75,15.778802830648262
0.7,0.08,0.75,17.49267070931021
0.4,0.07,0.75,20.771126721169612
0.5,0.02,0.75,51.822198939586606
0.9,0.1,0.75,13.731871005359366
0.7,0.09,0.75,16.040516015929754
0.5,0.03,0.75,38.26987047987158
0.4,0.06,0.75,23.248813778932966
0.7,0.02,0.75,49.05707244114473
