adhesivity,particle_size,time_throughput_100_scaled,efficiency_throughput_100,gamma,weight_coefficient,time_throughput_100
0.28,0.08,0.5678863439317765,0.4483458659550469,0.005430655911245485,7.8,176.0915737252058
0.29,0.08,0.5544864532283064,0.45929805084511416,0.004617893752494889,7.8,180.34705702508052
0.3,0.08,0.5409999132821843,0.4699948701169728,0.0038997003960781007,7.8,184.84291317777019
0.31,0.08,0.5274276747227892,0.48044246341792224,0.003269731672182879,7.8,189.59945560793528
0.32,0.08,0.5137752604307689,0.49064860727730464,0.002721456753238406,7.8,194.6376318629203
0.33,0.08,0.5000525287935162,0.5006223809434246,0.0022481855844963456,7.8,199.97899068978094
0.34,0.08,0.4862733541001528,0.5103738119603956,0.0018431304240890912,7.8,205.64565003782627
0.35,0.08,0.4724552315488235,0.5199135164572274,0.001499492418984319,7.8,211.66026603658426
0.36,0.08,0.45861881724295533,0.5292523474783576,0.001210562952262034,7.8,218.04600299909754
0.37,0.08,0.4447874160664031,0.5384010629862871,0.0009698293962535813,7.8,224.82650450045742
0.38,0.08,0.43098643226430566,0.5473700234299274,0.000771075808672509,7.8,232.02586558148136
0.39,0.08,0.41724279877867665,0.5561689270139455,0.0006084708124346268,7.8,239.66860612744634
0.4,0.08,0.4035844018163708,0.5648065890432313,0.0004766371206349368,7.8,247.77964547177814
0.41,0.08,0.3900395167479443,0.5732907699705331,0.0003706995895652351,7.8,256.38427827461163
0.42,0.08,0.37663627029859165,0.5816280550633571,0.0002863110058664058,7.8,265.5081517261242
0.43,0.08,0.3634021422016207,0.5898237869468995,0.00021965679938824853,7.8,275.1772441245505
0.44,0.08,0.35036351718816905,0.5978820506920214,0.0001674413664252482,7.8,285.4178448787897
0.0,0.1,1.0,0.0,0.0,7.8,100.0
0.01,0.1,0.9701814163934073,0.03069298147622229,0.02423773871464318,7.8,103.07350595494208
0.02,0.1,0.9472494214311755,0.05779684597070402,0.03787268179451537,7.8,105.56881612966572
