adhesivity_time_400,particle_size,weight_coefficient
0.2,0.06,2.15
0.1,0.07,2.15
0.1,0.08,2.15
0.1,0.09,2.15
0.1,0.1,2.15
0.8,0.01,2.2
0.4,0.02,2.2
0.3,0.03,2.2
0.2,0.04,2.2
0.2,0.05,2.2
0.2,0.06,2.2
0.1,0.07,2.2
0.1,0.08,2.2
0.1,0.09,2.2
0.1,0.1,2.2
0.8,0.01,2.25
0.4,0.02,2.25
0.3,0.03,2.25
0.2,0.04,2.25
0.2,0.05,2.25
0.1,0.06,2.25
0.1,0.07,2.25
0.1,0.08,2.25
0.1,0.09,2.25
0.1,0.1,2.25
0.8,0.01,2.3
0.4,0.02,2.3
0.3,0.03,2.3
0.2,0.04,2.3
0.2,0.05,2.3
0.1,0.06,2.3
0.1,0.07,2.3
0.1,0.08,2.3
0.1,0.09,2.3
0.1,0.1,2.3
0.7,0.01,2.35
0.4,0.02,2.35
0.3,0.03,2.35
0.2,0.04,2.35
0.2,0.05,2.35
0.1,0.06,2.35
0.1,0.07,2.35
0.1,0.08,2.35
0.1,0.09,2.35
0.1,0.1,2.35
0.7,0.01,2.4
0.4,0.02,2.4
0.3,0.03,2.4
0.2,0.04,2.4
0.2,0.05,2.4
0.1,0.06,2.4
0.1,0.07,2.4
0.1,0.08,2.4
0.1,0.09,2.4
0.1,0.1,2.4
0.7,0.01,2.45
0.4,0.02,2.45
0.3,0.03,2.45
0.2,0.04,2.45
0.2,0.05,2.45
0.1,0.06,2.45
0.1,0.07,2.45
0.1,0.08,2.45
0.1,0.09,2.45
0.1,0.1,2.45
0.7,0.01,2.5
0.4,0.02,2.5
0.3,0.03,2.5
0.2,0.04,2.5
0.1,0.05,2.5
0.1,0.06,2.5
0.1,0.07,2.5
0.1,0.08,2.5
0.1,0.09,2.5
0.1,0.1,2.5
0.7,0.01,2.55
0.4,0.02,2.55
0.2,0.03,2.55
0.2,0.04,2.55
0.1,0.05,2.55
0.1,0.06,2.55
0.1,0.07,2.55
0.1,0.08,2.55
0.1,0.09,2.55
0.1,0.1,2.55
0.7,0.01,2.6
0.4,0.02,2.6
0.2,0.03,2.6
0.2,0.04,2.6
0.1,0.05,2.6
0.1,0.06,2.6
0.1,0.07,2.6
0.1,0.08,2.6
0.1,0.09,2.6
0.1,0.1,2.6
0.7,0.01,2.65
0.4,0.02,2.65
0.2,0.03,2.65
0.2,0.04,2.65
0.1,0.05,2.65
0.1,0.06,2.65
0.1,0.07,2.65
0.1,0.08,2.65
0.1,0.09,2.65
0.1,0.1,2.65
0.7,0.01,2.7
0.3,0.02,2.7
0.2,0.03,2.7
0.2,0.04,2.7
0.1,0.05,2.7
0.1,0.06,2.7
0.1,0.07,2.7
0.1,0.08,2.7
0.1,0.09,2.7
0.1,0.1,2.7
0.7,0.01,2.75
0.3,0.02,2.75
0.2,0.03,2.75
0.2,0.04,2.75
0.1,0.05,2.75
0.1,0.06,2.75
0.1,0.07,2.75
0.1,0.08,2.75
0.1,0.09,2.75
0.1,0.1,2.75
0.6,0.01,2.8
0.3,0.02,2.8
0.2,0.03,2.8
0.2,0.04,2.8
0.1,0.05,2.8
0.1,0.06,2.8
0.1,0.07,2.8
0.1,0.08,2.8
0.1,0.09,2.8
0.1,0.1,2.8
0.6,0.01,2.85
0.3,0.02,2.85
0.2,0.03,2.85
0.2,0.04,2.85
0.1,0.05,2.85
0.1,0.06,2.85
0.1,0.07,2.85
0.1,0.08,2.85
0.1,0.09,2.85
0.1,0.1,2.85
0.6,0.01,2.9
0.3,0.02,2.9
0.2,0.03,2.9
0.1,0.04,2.9
0.1,0.05,2.9
0.1,0.06,2.9
0.1,0.07,2.9
0.1,0.08,2.9
0.1,0.09,2.9
0.1,0.1,2.9
0.6,0.01,2.95
0.3,0.02,2.95
0.2,0.03,2.95
0.1,0.04,2.95
0.1,0.05,2.95
0.1,0.06,2.95
0.1,0.07,2.95
0.1,0.08,2.95
0.1,0.09,2.95
0.1,0.1,2.95
0.6,0.01,3.0
0.3,0.02,3.0
0.2,0.03,3.0
0.1,0.04,3.0
0.1,0.05,3.0
0.1,0.06,3.0
0.1,0.07,3.0
0.1,0.08,3.0
